sku,rating,review_text,date,verified_purchase
BT-115,2,"Battery dies in under 3 hours. My old headphones from a different brand lasted all day. Very disappointed.",2025-12-10,True
BT-115,1,"These headphones keep disconnecting from my phone every 10 minutes. Completely unusable for calls.",2025-12-15,True
BT-115,3,"Sound quality is decent but the battery life is really bad. Expected at least 12 hours for this price.",2025-12-20,True
BT-115,2,"Arrived with a scratched headband. Packaging was damaged. Customer support took 3 weeks to respond.",2025-12-22,True
BT-115,1,"Returned after 2 days. Battery barely lasts 2.5 hours and the charging cable is proprietary and weird.",2025-11-30,True
BT-115,4,"Great sound quality for studio sessions! Only complaint is the battery could be better.",2025-11-25,True
BT-115,3,"Bluetooth keeps cutting out. Was told it was a firmware issue but no update in 3 months.",2025-12-05,False
BT-115,2,"At ₹3499 I expected ANC. SoundMax Pro has it for ₹2999. Hard to justify the price difference.",2025-12-18,True
BT-115,1,"Ear cushions are thin and uncomfortable after just 30 minutes of wear. Build quality feels cheap.",2025-12-28,True
BT-115,3,"Battery life is fine for short sessions. I wish the companion app had an EQ mode.",2025-11-15,True
BT-101,5,"Amazing value for money! Great bass, comfortable, and battery lasts 2 days easily.",2025-12-01,True
BT-101,4,"Solid headphones for the price. No issues with Bluetooth. Recommended for daily commuters.",2025-11-20,True
BT-101,5,"Bought as a gift and the recipient loves them. Lightweight and the sound is surprisingly good.",2025-12-10,False
BT-101,4,"Great bass heavy sound. Highs could be crisper but overall very happy at this price point.",2025-12-15,True
BT-101,3,"Good headphones but cable inclusion would have been nice as a backup. Otherwise fine.",2025-11-28,True
BT-102,5,"Absolutely love these! ANC is on par with Sony WH-1000XM5. Best purchase this year.",2025-12-20,True
BT-102,4,"ANC works great in the office. Slightly heavy but the comfort and sound make up for it.",2025-12-18,True
BT-106,4,"Perfect for gym. Stayed in ears during entire workout. Great 8-hour battery life.",2025-12-12,True
BT-106,5,"These are now my daily drivers. Sweat-proof, comfortable, and sound quality is excellent.",2025-11-30,True
BT-109,5,"Sound fills the whole room. Bass is incredible. Bought two — one for each floor of my house.",2025-12-02,True
BT-115,2,"No app support is a big miss in 2025. Can't customize EQ or check battery level without guessing.",2025-12-25,True
BT-115,1,"Bought these for WFH calls. Microphone quality is terrible. Echo on every call. Returning immediately.",2025-12-30,True
BT-115,3,"If you just want music they are okay. But for calls or anything else they fall short.",2025-12-08,True
BT-114,5,"Perfect for my kids! Loud enough for them, volume limited so no ear damage worries. Love it!",2025-12-22,True
BT-110,5,"Best portable speaker for hiking and outdoor use under ₹2000. Waterproof and great battery.",2025-12-17,True
BT-119,4,"Gym sessions are now way more fun. These buds stay in place even during running on treadmill.",2025-11-22,True
BT-115,2,"Charging takes 3 hours and gives only 3 hours of usage. Ratio is unacceptable.",2025-12-27,True
BT-103,4,"Call quality is the best in this price range. Clear microphone, comfortable fit for 8hr WFH sessions.",2025-12-14,True
BT-107,3,"Good sound but left bud cuts out sometimes. Might be a defect but annoying nonetheless.",2025-12-03,True
BT-115,4,"Sound quality is excellent for studio monitoring. Just wish the battery was not so limited.",2025-12-19,True
BT-115,1,"The product description says 20h battery. Real world is under 3h. False advertising.",2025-12-29,True
BT-115,2,"SoundMax Pro has better specs for ₹500 less. Hard to recommend these at current price.",2025-12-24,True
BT-108,4,"Good for running. Neckband is comfortable. 8h battery is more than enough for daily use.",2025-11-18,True
BT-111,5,"WooferMax bass is exactly what my home theatre setup needed. Incredible low end response.",2025-12-11,True
BT-101,5,"Still going strong after 6 months. Very impressed for an entry-level product.",2025-12-16,True
BT-115,3,"Decent build quality, stylish design. But competitors offer better specs for less money.",2025-12-21,True
BT-115,1,"The volume knob stopped responding after 2 weeks. Defective unit. Warranty claim was a nightmare.",2025-12-26,True
BT-106,5,"Worn for 3 hours straight at gym with zero ear fatigue. Sound quality better than expected.",2025-12-09,True
BT-102,5,"Company should make more products like this. ANC, comfort, and battery are all world class.",2025-12-23,True
BT-115,2,"Microphone quality not suitable for meetings. My team complained about background noise constantly.",2025-12-31,True
BT-101,4,"Pretty good for the price! The bass is punchy and lows are tight. Happy with this buy.",2025-11-10,True
BT-115,3,"I use these for music only and they are fine. Just do not expect pro features at this price.",2025-12-06,True
BT-119,5,"Best workout buds ever. Never fell out once in 4 months of daily gym use. Battery = huge.",2025-11-05,True
BT-104,4,"Gaming headset performance is solid. Boom mic is clear. Comfortable for long sessions.",2025-12-07,True
BT-113,3,"Smart speaker is okay but setup was confusing. Voice assistant integration is buggy sometimes.",2025-11-14,True
BT-115,1,"Returned. Bluetooth disconnects in the same room as the phone. Completely unacceptable.",2025-12-13,True
BT-105,4,"Slept with these for 3 nights. Comfortable. Sleep sounds are soothing. Would buy again.",2025-11-08,True
BT-116,5,"DJ quality from a Bluetooth set? Yes! Latency is impressive and the clamp force is perfect.",2025-12-04,True
BT-115,2,"Bought based on YouTube reviews. Reality is different. Battery and Bluetooth both let you down.",2025-12-16,True
BT-101,5,"Great sound isolation for a budget set. Background noise from office is mostly blocked.",2025-12-20,True
BT-106,3,"Good earbuds but case hinge feels flimsy. Hope it lasts beyond the warranty period.",2025-11-26,True
BT-115,4,"Studio monitor sound signature is accurate. Just need more battery life for long sessions.",2025-12-02,True
BT-120,4,"Sleep mask + audio in one product is genius. Comfortable and the audio quality is pleasant.",2025-11-12,True
BT-118,3,"Mic picks up background noise in busy offices. Otherwise headphones work fine for music.",2025-12-08,True
BT-115,2,"Would not buy again. The value for money is not there when SoundMax Pro exists at lower price.",2025-12-28,True
BT-112,4,"Travel speaker is loud and clear. Great for hotel rooms and outdoor dining settings.",2025-11-16,True
BT-101,5,"Incredible headphones at this price. Comfort level is great all day. Highly recommend!",2025-12-24,True
BT-115,1,"Charged overnight, full battery. By noon battery was dead. 3-4 hour battery. Unacceptable.",2025-01-02,True
BT-115,3,"Functional product but falls short on battery and features compared to similarly priced rivals.",2025-12-12,True
BT-106,5,"Best earbuds I have owned at any price. Sound, battery, and fit all exceed expectations.",2025-12-26,True
BT-115,2,"Returned after one week. Battery life is nowhere near the advertised specs. Misleading listing.",2025-01-04,True
BT-102,4,"ANC is strong and the sound profile is amazing. Slightly overpriced but worth it for the ANC.",2025-11-22,True
BT-109,5,"Bedroom speaker has transformed my morning routine. Crystal clarity and room-filling bass.",2025-12-30,True
BT-115,3,"Works as a monitor set for short studio stints. Long sessions require external power bank usage.",2025-12-18,False
BT-101,4,"Excellent for the price. Slightly bass-heavy but that is a preference thing. Build feels solid.",2025-11-28,True
BT-115,1,"Three emails to customer service about battery issue. No resolution in 60 days. Avoid.",2025-01-05,True
BT-106,4,"IPX5 rating holds up. Used in rain and gym without issues. No corrosion on charging port.",2025-12-04,True
BT-117,4,"Retro design looks great and surprisingly good audio quality for vinyl-style form factor.",2025-11-19,True
BT-115,2,"There is no EQ in the app. No app. Just plug and play with poor battery. 2024 competitors do more.",2025-12-22,True
BT-118,3,"Not ideal for hybrid calls. Picking up keyboard noise which distracts colleagues on meetings.",2025-11-30,False
BT-115,4,"Value is questionable compared to SoundMax Pro but the audio tuning is excellent for music.",2025-12-14,True
BT-101,5,"Month 4 and still performing like new. Build quality has held up well. Impressed overall.",2025-12-31,True
BT-115,2,"App does not exist. Battery lasts 3h. Competition has 30h with ANC for same price. Hard pass.",2025-01-06,True
BT-106,5,"These replaced my ₹5000 earbuds. Performance is genuinely better. Incredible value.",2025-12-28,True
BT-115,1,"Worst headphone purchase of my life. Bluetooth drops, battery dies fast, no EQ support. Returned.",2025-01-07,True
BT-104,5,"Gaming sessions with these are immersive. Boom mic catches everything and filters background noise.",2025-12-19,True
BT-110,4,"Great little speaker. Use it camping and city outings alike. Battery life surprisingly good.",2025-11-23,True
BT-115,3,"Decent monitoring sound but the battery situation needs a firmware or hardware fix urgently.",2025-12-25,True
BT-119,4,"Survived 3 swim training sessions (just wore them around pool deck). Sweat proof claim is real.",2025-12-03,True
BT-115,2,"For India rupee pricing, competitors simply offer more features. Price adjustment is overdue.",2025-01-08,True
BT-102,5,"Family purchased this for my birthday. Genuinely the best headphones I have ever owned. Thank you!",2025-12-17,False
BT-115,3,"Mix of pros and cons. Good for niche studio use but lacks daily driver battery life completely.",2025-12-29,True
BT-108,5,"Best neckband earphones in budget category. Robust, lightweight, and the battery is outstanding.",2025-11-09,True
BT-115,2,"I have used many headphones at this price. This one is the most disappointing battery experience.",2025-01-09,True
BT-105,5,"Night-time listening is perfect now. Soft tips, great audio, and 10h means I never run out.",2025-12-01,True
BT-115,4,"Sound profile suits classical and jazz very well. Just stock up on power banks for portability.",2025-12-07,True
BT-114,5,"Children love these. Volume limit gives peace of mind and the design is fun and durable.",2025-11-15,True
BT-115,1,"Connectivity issues persist. Customer support recommended a factory reset which did not help.",2025-01-10,True
BT-106,4,"Colors look premium. The matte finish does not attract fingerprints. Build quality is solid.",2025-12-21,True
BT-115,2,"Five colleagues own competing products with ANC and 25h+ batteries at same or lower price.",2025-01-03,True
BT-116,4,"Professional DJ use: latency is minimal and the frequency response is balanced for mixing.",2025-12-13,True
BT-115,3,"Trade-offs might work for some users but the industry has moved beyond 3h battery headphones.",2025-12-23,True
BT-101,4,"Entry level product done right. Punchy sound, easy pairing, and long battery for the category.",2025-12-27,True
BT-115,2,"Charging cable is a weird proprietary connector. Lost mine and replacement is not available online.",2025-01-11,True
BT-120,5,"Sleeping with these feels natural. The audio is calming and the mask is breathable. 5 stars.",2025-11-27,True
